"date","country","total_revenue"
"2007-02-15","Netherlands","7.99"
"2007-02-16","Netherlands","1.99"
"2007-02-16","Netherlands","7.99"
"2007-02-19","Netherlands","2.99"
"2007-02-20","Netherlands","7.99"
"2007-02-21","Netherlands","5.99"
"2007-02-17","Brazil","5.99"
"2007-02-20","Brazil","5.99"
"2007-02-20","Brazil","2.99"
"2007-02-16","Mexico","4.99"
"2007-02-16","Mexico","6.99"
"2007-02-17","Mexico","0.99"
"2007-02-17","Mexico","0.99"
"2007-02-18","Mexico","6.99"
"2007-02-20","Mexico","8.99"
"2007-02-21","Mexico","0.99"
"2007-02-15","Tonga","3.99"
"2007-02-15","Tonga","4.99"
"2007-02-16","Tonga","0.99"
"2007-02-15","Paraguay","0.99"
"2007-02-15","Paraguay","4.99"
"2007-02-16","Paraguay","0.99"
"2007-02-19","Paraguay","4.99"
"2007-02-17","Russian Federation","5.99"
"2007-02-21","Russian Federation","2.99"
"2007-02-21","Russian Federation","2.99"
"2007-02-16","Latvia","8.99"
"2007-02-18","Latvia","0.99"
"2007-02-20","Latvia","4.99"
"2007-02-20","Latvia","8.99"
"2007-02-21","Latvia","7.99"
"2007-02-16","Taiwan","2.99"
"2007-02-17","Taiwan","8.99"
"2007-02-18","Taiwan","0.99"
"2007-02-15","Philippines","2.99"
"2007-02-15","Philippines","0.99"
"2007-02-20","Philippines","6.99"
"2007-02-20","Philippines","8.99"
"2007-02-17","Russian Federation","3.99"
"2007-02-19","Russian Federation","0.99"
"2007-02-20","Russian Federation","2.99"
"2007-02-20","Russian Federation","0.99"
"2007-02-16","Russian Federation","5.99"
"2007-02-17","Russian Federation","0.99"
"2007-02-19","Russian Federation","2.99"
"2007-02-15","Cameroon","0.99"
"2007-02-16","Cameroon","4.99"
"2007-02-16","Cameroon","4.99"
"2007-02-16","Cameroon","4.99"
"2007-02-21","Cameroon","4.99"
"2007-02-15","Mexico","2.99"
"2007-02-17","Mexico","7.99"
"2007-02-21","Mexico","6.99"
"2007-02-15","Brazil","0.99"
"2007-02-18","Brazil","4.99"
"2007-02-19","Brazil","6.99"
"2007-02-20","Brazil","2.99"
"2007-02-15","Japan","0.99"
"2007-02-16","Japan","2.99"
"2007-02-15","India","0.99"
"2007-02-18","India","2.99"
"2007-02-18","India","4.99"
"2007-02-15","Slovakia","5.99"
"2007-02-16","Slovakia","1.99"
"2007-02-17","Slovakia","1.99"
"2007-02-17","Slovakia","6.99"
"2007-02-15","India","2.99"
"2007-02-17","India","0.99"
"2007-02-17","India","5.99"
"2007-02-19","India","2.99"
"2007-02-19","India","2.99"
"2007-02-21","India","2.99"
"2007-02-15","Argentina","4.99"
"2007-02-16","Argentina","1.99"
"2007-02-18","Argentina","0.99"
"2007-02-19","Argentina","4.99"
"2007-02-15","Puerto Rico","0.99"
"2007-02-18","Puerto Rico","6.99"
"2007-02-19","Puerto Rico","3.99"
"2007-02-19","Puerto Rico","6.99"
"2007-02-18","Cameroon","4.99"
"2007-02-19","Cameroon","1.99"
"2007-02-19","Cameroon","2.99"
"2007-02-21","Cameroon","2.99"
"2007-02-15","Brazil","2.99"
"2007-02-15","Brazil","2.99"
"2007-02-16","Brazil","2.99"
"2007-02-20","Brazil","2.99"
"2007-02-21","Brazil","2.99"
"2007-02-15","Kenya","4.99"
"2007-02-16","Kenya","4.99"
"2007-02-16","Kenya","4.99"
